Indicador,Área geográfica,Año,Valor
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2022,34.9958373939
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2022,89.5148129118
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2022,29.1557798141
Delitos denunciados (Delitos) Anual,14 Jalisco,2022,235955.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2022,1575944.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2022,45974.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2022,28925.6553255387
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2023,30.3091452521
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2023,91.6092830274
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2023,29.1215051014
Delitos denunciados (Delitos) Anual,14 Jalisco,2023,239027.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2023,1761398.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2023,71177.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2023,31731.2257277954
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2024,26.561150999
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2024,91.7118242385
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2024,29.7186478131
Delitos denunciados (Delitos) Anual,14 Jalisco,2024,208980.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2024,1936655.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2024,31146.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2024,33328.9788071788
