Año,Municipio,categoria_delito,Total_Anual
2015,Encarnación de Díaz,EXTORSION,2
2016,Encarnación de Díaz,EXTORSION,5
2017,Encarnación de Díaz,EXTORSION,2
2018,Encarnación de Díaz,EXTORSION,4
2019,Encarnación de Díaz,EXTORSION,4
2020,Encarnación de Díaz,EXTORSION,3
2021,Encarnación de Díaz,EXTORSION,3
2022,Encarnación de Díaz,EXTORSION,3
2023,Encarnación de Díaz,EXTORSION,7
2024,Encarnación de Díaz,EXTORSION,19
2025,Encarnación de Díaz,EXTORSION,9
2015,Etzatlán,EXTORSION,1
2016,Etzatlán,EXTORSION,3
2017,Etzatlán,EXTORSION,3
2018,Etzatlán,EXTORSION,4
2019,Etzatlán,EXTORSION,2
2020,Etzatlán,EXTORSION,1
2021,Etzatlán,EXTORSION,1
2022,Etzatlán,EXTORSION,3
2023,Etzatlán,EXTORSION,2
2024,Etzatlán,EXTORSION,1
2025,Etzatlán,EXTORSION,2
2015,Guachinango,EXTORSION,1
2016,Guachinango,EXTORSION,0
2017,Guachinango,EXTORSION,1
2018,Guachinango,EXTORSION,0
2019,Guachinango,EXTORSION,0
2020,Guachinango,EXTORSION,0
2021,Guachinango,EXTORSION,0
2022,Guachinango,EXTORSION,0
2023,Guachinango,EXTORSION,0
2024,Guachinango,EXTORSION,0
2025,Guachinango,EXTORSION,0
2015,Guadalajara,EXTORSION,209
2016,Guadalajara,EXTORSION,175
2017,Guadalajara,EXTORSION,116
2018,Guadalajara,EXTORSION,177
2019,Guadalajara,EXTORSION,186
2020,Guadalajara,EXTORSION,166
2021,Guadalajara,EXTORSION,134
2022,Guadalajara,EXTORSION,130
2023,Guadalajara,EXTORSION,120
2024,Guadalajara,EXTORSION,105
2025,Guadalajara,EXTORSION,59
2015,Gómez Farías,EXTORSION,0
2016,Gómez Farías,EXTORSION,0
2017,Gómez Farías,EXTORSION,2
2018,Gómez Farías,EXTORSION,1
2019,Gómez Farías,EXTORSION,0
2020,Gómez Farías,EXTORSION,0
2021,Gómez Farías,EXTORSION,0
2022,Gómez Farías,EXTORSION,1
2023,Gómez Farías,EXTORSION,2
2024,Gómez Farías,EXTORSION,1
2025,Gómez Farías,EXTORSION,1
2015,Hostotipaquillo,EXTORSION,1
2016,Hostotipaquillo,EXTORSION,0
2017,Hostotipaquillo,EXTORSION,0
2018,Hostotipaquillo,EXTORSION,0
2019,Hostotipaquillo,EXTORSION,0
2020,Hostotipaquillo,EXTORSION,0
2021,Hostotipaquillo,EXTORSION,0
2022,Hostotipaquillo,EXTORSION,0
2023,Hostotipaquillo,EXTORSION,0
2024,Hostotipaquillo,EXTORSION,0
2025,Hostotipaquillo,EXTORSION,0
2015,Huejuquilla el Alto,EXTORSION,0
2016,Huejuquilla el Alto,EXTORSION,2
2017,Huejuquilla el Alto,EXTORSION,0
2018,Huejuquilla el Alto,EXTORSION,1
2019,Huejuquilla el Alto,EXTORSION,1
2020,Huejuquilla el Alto,EXTORSION,4
2021,Huejuquilla el Alto,EXTORSION,2
2022,Huejuquilla el Alto,EXTORSION,2
2023,Huejuquilla el Alto,EXTORSION,0
2024,Huejuquilla el Alto,EXTORSION,2
2025,Huejuquilla el Alto,EXTORSION,1
2015,Huejúcar,EXTORSION,1
2016,Huejúcar,EXTORSION,0
2017,Huejúcar,EXTORSION,2
2018,Huejúcar,EXTORSION,0
2019,Huejúcar,EXTORSION,1
2020,Huejúcar,EXTORSION,1
2021,Huejúcar,EXTORSION,1
2022,Huejúcar,EXTORSION,1
2023,Huejúcar,EXTORSION,0
2024,Huejúcar,EXTORSION,0
2025,Huejúcar,EXTORSION,0
2015,Ixtlahuacán de los Membrillos,EXTORSION,1
2016,Ixtlahuacán de los Membrillos,EXTORSION,1
2017,Ixtlahuacán de los Membrillos,EXTORSION,2
2018,Ixtlahuacán de los Membrillos,EXTORSION,0
2019,Ixtlahuacán de los Membrillos,EXTORSION,4
2020,Ixtlahuacán de los Membrillos,EXTORSION,5
2021,Ixtlahuacán de los Membrillos,EXTORSION,2
2022,Ixtlahuacán de los Membrillos,EXTORSION,6
2023,Ixtlahuacán de los Membrillos,EXTORSION,7
2024,Ixtlahuacán de los Membrillos,EXTORSION,3
2025,Ixtlahuacán de los Membrillos,EXTORSION,6
2015,Ixtlahuacán del Río,EXTORSION,2
2016,Ixtlahuacán del Río,EXTORSION,3
2017,Ixtlahuacán del Río,EXTORSION,1
2018,Ixtlahuacán del Río,EXTORSION,0
2019,Ixtlahuacán del Río,EXTORSION,3
2020,Ixtlahuacán del Río,EXTORSION,4
2021,Ixtlahuacán del Río,EXTORSION,1
