Año,zona_geografica,Tipo de delito,Total_Anual
2019,AMG,Tráfico de menores,0
2019,AMG,Violación equiparada,0
2019,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2019,Interior,Robo,8702
2019,Interior,Lesiones,3768
2019,Interior,Daño a la propiedad,3385
2019,Interior,Violencia familiar,3147
2019,Interior,Amenazas,2621
2019,Interior,Fraude,1685
2019,Interior,Otros delitos del Fuero Común,1547
2019,Interior,Homicidio,929
2019,Interior,Despojo,753
2019,Interior,Falsificación,738
2019,Interior,Abuso sexual,715
2019,Interior,Otros delitos contra la familia,567
2019,Interior,Abuso de confianza,543
2019,Interior,Narcomenudeo,395
2019,Interior,Extorsión,295
2019,Interior,Allanamiento de morada,166
2019,Interior,Delitos cometidos por servidores públicos,138
2019,Interior,Violación simple,100
2019,Interior,Otros delitos que atentan contra la libertad personal,97
2019,Interior,Falsedad,63
2019,Interior,Acoso sexual,56
2019,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,53
2019,Interior,Corrupción de menores,40
2019,Interior,Contra el medio ambiente,28
2019,Interior,Hostigamiento sexual,19
2019,Interior,Feminicidio,15
2019,Interior,Electorales,8
2019,Interior,Secuestro,5
2019,Interior,Aborto,3
2019,Interior,Trata de personas,2
2019,Interior,Evasión de presos,0
2019,Interior,Incesto,0
2019,Interior,Incumplimiento de obligaciones de asistencia familiar,0
2019,Interior,Otros delitos contra el patrimonio,0
2019,Interior,Otros delitos contra la sociedad,0
2019,Interior,Otros delitos que atentan contra la vida y la integridad corporal,0
2019,Interior,Rapto,0
2019,Interior,Tráfico de menores,0
2019,Interior,Violación equiparada,0
2019,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2020,AMG,Robo,46282
2020,AMG,Otros delitos del Fuero Común,9393
2020,AMG,Violencia familiar,8565
2020,AMG,Amenazas,7435
2020,AMG,Lesiones,6206
2020,AMG,Fraude,5500
2020,AMG,Daño a la propiedad,4015
2020,AMG,Homicidio,1740
2020,AMG,Abuso sexual,1402
2020,AMG,Abuso de confianza,1375
